"Date","Year","Quarter","FY","QFY","Month","EXP_NWR_AGRO","EXP_NWR_MID","EXP_NWR_SPD","EXP_NWR_MAN","EXP_NWR_TOD","EXP_NWR_NECLW","EXP_NWR_PSD","EXP_NWR_SED","EXP_NWR_ITIS","EXP_NWR_SUD","EXP_NWR_DIT","EXP_NWR_HCD","EXP_NWR_TTD","EXP_NWR_PST","EXP_NWR_CMC","EXP_NWR_GOS","EXP_NWR_DPI","EXP_NWR_RBD","EXP_NWR_ADJ","EXP_NWR_LEG","EXP_NWR_LGOV","EXP_NWR_I","EXP_NWR_I_DOM","EXP_NWR_I_EXT","EXP_NWR_CEN_TOT","EXP_NWR_LGP_TOT","EXP_NWR_I_TOT","EXP_NWR"
2016-02-01,2016,"Q1","2015/16","Q3","February",71.396075655,5.163064959,4.473176143,8.547735293,12.614286648,0.820394331,67.832903072,16.3193284949167,0.224824493,2.367798632,1.727112425,4.184596659,0.128058616,23.27035558,57.784278726,19.133892613,,,,,,128.296254997419,102.119400793,26.1768542044188,290.450067037917,5.537815302,128.296254997419,424.284137337336
2016-03-01,2016,"Q1","2015/16","Q3","March",23.114124509,2.830229088,2.0299393,7.73061832,5.837241922,0.757882956,30.159247652,18.6431205579167,0.132121753,1.321507534,1.20433802,2.346698363,0.240153501,14.959807164,53.60299453,8.166188576,,,,,,168.221380245969,154.267893865,13.953486380969,166.473311621917,6.602902124,168.221380245969,341.297593991886
2016-04-01,2016,"Q2","2015/16","Q4","April",78.318013948,90.737080819,7.97307325353953,105.847625429035,39.7972892754772,2.284393092,30.952666419,35.6576891426097,0.343650531,3.288736919,2.543855668,2.58733154249124,2.60043128,52.06883304183,68.520575031,19.867123961,,,,,,116.067508616034,92.799239016,23.2682696000341,398.338479721917,145.049889631066,116.067508616034,659.455877969017
2016-05-01,2016,"Q2","2015/16","Q4","May",36.820255095,12.394976386,9.35000688,15.909252203,32.628732508,4.141835352,62.443865893,21.4387545789167,0.805986044,2.984607407,2.74184143,4.649200248,0.674113811,19.219935769,49.971448175,28.382766463,,,,,,148.647036750876,137.487351717,11.1596850338755,296.525631319917,8.031946923,148.647036750876,453.204614993792
2016-06-01,2016,"Q2","2015/16","Q4","June",72.21512775,7.185807775,14.568808433,11.183181724,32.597412947,2.750505282,36.705290353,24.8945919309167,1.661293482,6.015924448,1.192905408,2.358808225,1.385755728,45.825834037,47.30165191,38.51666482,,,,,,191.764729980353,177.372792875,14.3919371053526,323.191791173917,23.167773079,191.764729980353,538.124294233269
2022-07-01,2022,"Q3","2022/23","Q1","July",0.801199364333333,0.00416666666666667,92.5021188216667,0.174355223666667,0.251220646333333,0.139263666666667,76.6377926293333,0.009,0.732284066,0.146886,0.020195369,92.1664748396667,0.00333333333333333,0.743736181,1.660975645,117.388469397333,33.5325891644167,0.088095,5.650601802,40.050034022,0,643.8119917823,451.544043742,192.2679480403,462.702791838417,60.0614080031737,643.8119917823,1166.57619162389
2022-08-01,2022,"Q3","2022/23","Q1","August",8.71787836733333,0.0803509486666667,0.276800707666667,4.32000703966667,15.2510557853333,3.94058697566667,11.3752652283333,0.204436205,66.401724995,7.414972845,0.897208517,158.196278235667,0.506065973333333,5.145029044,3.950625433,202.488306339333,96.3142697594167,0.982324623,31.89873967,65.619638304,0,218.663042508577,172.878968525,45.7840739835774,683.981564996417,60.0614080031737,218.663042508577,962.706015508168
2022-09-01,2022,"Q3","2022/23","Q1","September",4.69739275133333,0.00328855866666667,0.176158330666667,0.553150924666667,0.431145985333333,2.82649945366667,2.37421990833333,0.96085193,14.91266255,0.248346094,0.548601417,71.1291576336667,15.2977478823333,3.703306006,0.882300423,216.575210778333,38.6760449064167,0.456205659,9.05633826,44.545869935,0,644.482130621422,488.417399407,156.064731214422,428.054499387417,60.0614080031737,644.482130621422,1132.59803801201
2022-10-01,2022,"Q4","2022/23","Q2","October",8.01634117366667,0.1737,606.119097124,103.053226712333,1.44087121866667,3.041790149,242.851326428333,0.993880615,156.263803811,3.160848737,8.19360683,217.919796848333,15.2271852746667,6.077900065,6.985345327,327.622531646,48.74022696575,0.310069067,27.178570845,68.047071375,0,349.275783309803,307.607459804,41.6683235058028,1851.40034221275,88.5716918884333,349.275783309803,2289.24781741099
2022-11-01,2022,"Q4","2022/23","Q2","November",21.2804303016667,0.145826517,0.807401266,0.771225311333333,17.0909696856667,7.40631012,144.174198418333,1.544143158,67.416744402,5.409741846,0.986020959,187.474525760333,0.659603992666667,10.869436936,5.818633043,238.361770301,92.97565150175,1.494297959,23.768304847,58.759595902,0,657.271394473805,617.659671279,39.611723194805,887.23168022775,88.5716918884333,657.271394473805,1633.07476658999
2022-12-01,2022,"Q4","2022/23","Q2","December",9.44576666066667,0.338160768,-232.493422815,300.925133811333,3.33816924366667,21.624746934,35.4034638713333,0.41115048,70.443353534,1.439450218,5.191454061,69.6036199273333,0.395261991666667,3.974332311,1.469985172,228.127272409,60.01028754075,1.137845279,7.98434706,51.057507795,0,343.085106990391,242.239103851,100.846003139391,639.82788625275,88.5716918884333,343.085106990391,1071.48468513157
2023-01-01,2023,"Q1","2022/23","Q3","January",6.427808684,0.0310728,15.167142358,8.54995069316667,16.4272003405,4.65689571666667,56.740853644,-0.00420017,147.883653819,1.498789437,0.323260967,149.200652603,0.492679619666667,6.17037909,4.46126106333333,280.833434496,96.7221146425833,0.496798066,22.400870878,74.114284644,0,641.530723838316,448.202271495,193.328452343316,879.726713833083,134.78215727286,641.530723838316,1656.03959494426
2023-02-01,2023,"Q1","2022/23","Q3","February",23.645220509,0.453223816,100.74394538,13.3387093911667,2.1307781255,5.89360341166667,13.543771322,0.982985984,51.49779282,2.549295104,6.326711384,195.783740381,27.1714917426667,9.275259725,6.45039503033333,210.438720436,57.0163145745833,1.287590005,20.559129544,48.033737897,0,243.547325674237,178.1401870615,65.4071386127367,784.254227024083,134.78215727286,243.547325674237,1162.58370997118
