"Date","Year","Quarter","FY","QFY","Month","EXP_DDEV_SEC","EXP_DDEV_RAW","EXP_DDEV_AGR","EXP_DDEV_EDU","EXP_DDEV_HEA","EXP_DDEV_WAE","EXP_DDEV_JLO","EXP_DDEV_ACC","EXP_DDEV_EAM","EXP_DDEV_TTI","EXP_DDEV_LHUD","EXP_DDEV_SD","EXP_DDEV_ICT","EXP_DDEV_PSM","EXP_DDEV_PAD","EXP_DDEV_PARL","EXP_DDEV_STD","EXP_DDEV_TOU","EXP_DDEV_LGOV","EXP_DDEV_I","EXP_DDEV_I_DOM","EXP_DDEV_I_EXT","EXP_DDEV_CEN_TOT","EXP_DDEV_LGP_TOT","EXP_DDEV_I_TOT","EXP_DDEV"
2006-07-01,2006,"Q3","2006/07","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,6.839604406,13.552929006,,20.392533412
2006-08-01,2006,"Q3","2006/07","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,46.425994876,16.029669826,,62.455664702
2006-09-01,2006,"Q3","2006/07","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,17.243431092,4.22248967,,21.465920762
2006-10-01,2006,"Q4","2006/07","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,46.178017667,29.239904,,75.417921667
2006-11-01,2006,"Q4","2006/07","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,75.338359514,13.737975,,89.076334514
2006-12-01,2006,"Q4","2006/07","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,22.75584875,0.157398,,22.91324675
2007-01-01,2007,"Q1","2006/07","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,32.907401997,15.764672,,48.672073997
2007-02-01,2007,"Q1","2006/07","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,20.136791335,16.458112,,36.594903335
2007-03-01,2007,"Q1","2006/07","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,62.533495325,5.708503,,68.241998325
2007-04-01,2007,"Q2","2006/07","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,85.351735316,30.866094989,,116.217830305
2007-05-01,2007,"Q2","2006/07","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,49.599748532,16.57028807,,66.170036602
2007-06-01,2007,"Q2","2006/07","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,85.033546477,1.18320675503244,,86.2167532320324
2007-07-01,2007,"Q3","2007/08","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,2.184237999,30.850255,,33.034492999
2007-08-01,2007,"Q3","2007/08","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,29.363816612,4.83248534,,34.196301952
2007-09-01,2007,"Q3","2007/08","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,58.975277014,2.809941,,61.785218014
2007-10-01,2007,"Q4","2007/08","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,70.19837528,27.635685573,,97.834060853
2007-11-01,2007,"Q4","2007/08","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,32.296752676,7.856172,,40.152924676
2007-12-01,2007,"Q4","2007/08","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,15.981423067,0.913345,,16.894768067
2008-01-01,2008,"Q1","2007/08","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,56.967517696,22.647477,,79.614994696
2008-02-01,2008,"Q1","2007/08","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,26.814185027,4.209714,,31.023899027
2008-03-01,2008,"Q1","2007/08","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,69.7249519003333,18.08628,,87.8112319003333
2008-04-01,2008,"Q2","2007/08","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,33.082547038,47.03808948,,80.120636518
2008-05-01,2008,"Q2","2007/08","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,59.480800788,6.2906877,,65.771488488
2008-06-01,2008,"Q2","2007/08","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,118.750585788,0,,118.750585788
2008-07-01,2008,"Q3","2008/09","Q1","July",0.004302,1.35202389,6.663207,2.00718,2.426418,3.79954658,0,1.208369,0.164813307,0,-7e-04,0.0092487,0,5.719158137,0.4159225,0,,,,0,0,0,4.878186114,18.891303,0,23.769489114
2008-08-01,2008,"Q3","2008/09","Q1","August",0.279737584,44.244050634,14.618301228,8.056665752,2.801687417,8.987554004,4.14897506,4.40562827899998,29.446705149,0.873340674,0.001798,0.358274937,0.125637482,2.831507648,20.10830676,0,,,,0,0,0,118.027769608,23.260401,0,141.288170608
2008-09-01,2008,"Q3","2008/09","Q1","September",0.460168198,1.869822554,2.48348354,2.902691108,3.464852686,2.200115191,1.468837358,8.420548067,0.331016329,0.258515919,0.592143552,0.408853052,0.0477995,2.757675125,0.374796351,0,,,,0,0,0,26.43021253,1.611106,0,28.04131853
2008-10-01,2008,"Q4","2008/09","Q2","October",4.57694587,0.258086365,23.651528577,0.991734977,1.829938011,4.24019024,1.079752742,1.358965795,0.268595538,0.325774546,0.156079167,0.232133361,0.120791235,23.628422726,1.651356219,0,,,,0,0,0,18.653212369,45.717083,0,64.370295369
2008-11-01,2008,"Q4","2008/09","Q2","November",2.221903559,5.27098638,2.632299318,14.298818876,6.33511808,13.639687788,4.421891714,4.846819435,14.876782333,0.58872619,0.321163502,0.393575754,0.094419616,2.771200922,28.214971019,0,,,,0,0,0,87.239483486,13.688881,0,100.928364486
2008-12-01,2008,"Q4","2008/09","Q2","December",3.732468402,19.72914689,4.050105222,1.600727439,3.944739966,4.89759004,0.539624146,5.467434477,2.50335152,0.701372483,0.515990432,0.219544874,0.227748473,5.438994616,1.678392131,0,,,,0,0,0,55.247231111,0,0,55.247231111
2009-01-01,2009,"Q1","2008/09","Q3","January",2.894817148,54.629131566,9.721084229,1.377579713,1.342526355,6.280759045,1.821689379,7.78132335399998,20.183665154,0.443911157,0.064960774,0.548706614,0.131537367,13.571037828,0.209621813,0,,,,0,0,0,94.749399496,26.252952,0,121.002351496
2009-02-01,2009,"Q1","2008/09","Q3","February",2.794455062,2.885413353,22.950881072,10.654507876,3.761610938,0.771769951,1.094846135,9.840381507,1.922596935,0.182139122,0.266771151,0.796849269,0.0007163,1.573502985,0.182750578,1.2057992,,,,0,0,0,34.775475434,26.109516,0,60.884991434
2009-03-01,2009,"Q1","2008/09","Q3","March",1.684284654,167.328108323,4.324982772,0.970051816,6.382691016,8.67128565,7.361005837,10.903883606,1.41231556,0.216442237,0.149254782,0.337436136,0.09837892,8.743027213,3.178381546,1.604136265,,,,0,0,0,213.600963333,9.764703,0,223.365666333
2009-04-01,2009,"Q2","2008/09","Q4","April",0.698148774,3.063584214,1.759309958,6.044094117,4.844751175,15.091128125,0.871787094,5.388321083,12.382523302,0.15854746,0.248966532,0.134086534,1.410818115,17.312561602,3.154547142,1.85225997,,,,0,0,0,42.758994177,31.65644102,0,74.415435197
2009-05-01,2009,"Q2","2008/09","Q4","May",5.10768845,8.986329711,17.876185371,6.154098129,7.975265881,4.812583085,3.387684023,25.329265209,5.534287888,2.402894851,0.556501858,1.684068861,0.230470414,6.854803248,10.028465844,0.326799036,,,,0,0,0,86.626428639,20.62096322,0,107.247391859
2009-06-01,2009,"Q2","2008/09","Q4","June",7.560846503,72.48195428,8.460558727,7.03885124,10.213453952,8.893705674,9.434836717,29.700437998,33.469343955,1.61461751,2.142836853,1.140140831,1.521421672,4.654669175,4.775772293,3.35151367,,,,0,0,0,206.45496105,0,0,206.45496105
